IP,RTTavg,Label
y.y.y.y,7.958,phish
y.y.y.y,14.796,phish
y.y.y.y,112.453,phish
y.y.y.y,142.573,phish
y.y.y.y,6.269,phish
y.y.y.y,6.198,phish
y.y.y.y,1841.898,phish
y.y.y.y,141.83,phish
y.y.y.y,6.806,phish
y.y.y.y,140.226,phish
y.y.y.y,133.151,phish
y.y.y.y,194.579,phish
y.y.y.y,1701.241,phish
y.y.y.y,254.019,phish
y.y.y.y,5.878,phish
y.y.y.y,164.337,phish
y.y.y.y,7.501,phish
y.y.y.y,143.004,phish
y.y.y.y,188.223,phish
y.y.y.y,146.191,phish
y.y.y.y,130.969,phish
y.y.y.y,165.513,phish
y.y.y.y,235.373,phish
y.y.y.y,249.883,phish
y.y.y.y,88.866,phish
y.y.y.y,6.363,phish
y.y.y.y,254.335,phish
y.y.y.y,256.05,phish
y.y.y.y,160.46,phish
y.y.y.y,276.351,phish
y.y.y.y,276.866,phish
y.y.y.y,128.69,phish
y.y.y.y,157.636,phish
y.y.y.y,7.274,phish
y.y.y.y,165.393,phish
y.y.y.y,112.435,phish
y.y.y.y,112.121,phish
y.y.y.y,112.211,phish
y.y.y.y,141.79,phish
y.y.y.y,242.311,phish
y.y.y.y,154.303,phish
y.y.y.y,114.242,phish
y.y.y.y,128.43,phish
y.y.y.y,139.375,phish
y.y.y.y,74.832,phish
y.y.y.y,165.593,phish
y.y.y.y,232.927,phish
y.y.y.y,159.334,phish
y.y.y.y,141.199,phish
y.y.y.y,159.919,phish
y.y.y.y,7.127,phish
y.y.y.y,239.884,phish
y.y.y.y,149.45,phish
y.y.y.y,7.004,phish
y.y.y.y,115.945,phish
y.y.y.y,7.31,phish
y.y.y.y,7.977,phish
y.y.y.y,7.034,phish
y.y.y.y,159.006,phish
y.y.y.y,6.815,phish
y.y.y.y,5.868,phish
y.y.y.y,7.283,phish
y.y.y.y,132.534,phish
y.y.y.y,242.786,phish
y.y.y.y,140.859,phish
y.y.y.y,93.314,phish
y.y.y.y,101.238,phish
y.y.y.y,245.097,phish
y.y.y.y,115.798,phish
y.y.y.y,6.618,phish
y.y.y.y,164.239,phish
y.y.y.y,6.367,phish
y.y.y.y,284.628,phish
y.y.y.y,216.033,phish
y.y.y.y,268.029,phish
y.y.y.y,6.602,phish
y.y.y.y,108.978,phish
y.y.y.y,267.1,phish
y.y.y.y,262.066,phish
y.y.y.y,244.651,phish
y.y.y.y,0.073,phish
y.y.y.y,133.853,phish
y.y.y.y,7.801,phish
y.y.y.y,285.204,phish
y.y.y.y,7.085,phish
y.y.y.y,100.951,phish
y.y.y.y,6.463,phish
y.y.y.y,133.01,phish
y.y.y.y,405.327,phish
y.y.y.y,5.943,phish
y.y.y.y,251.756,phish
y.y.y.y,7.528,phish
y.y.y.y,10.76,phish
y.y.y.y,253.101,phish
y.y.y.y,277.929,phish
y.y.y.y,6.526,phish
y.y.y.y,7.087,phish
y.y.y.y,105.864,phish
y.y.y.y,133.757,phish
y.y.y.y,158.622,phish
y.y.y.y,112.387,phish
y.y.y.y,85.603,phish
y.y.y.y,105.427,phish
y.y.y.y,98.436,phish
y.y.y.y,132.997,phish
y.y.y.y,113.299,phish
y.y.y.y,6.843,phish
y.y.y.y,5.872,phish
y.y.y.y,241.031,phish
y.y.y.y,74.19,phish
y.y.y.y,93.297,phish
y.y.y.y,7.16,phish
y.y.y.y,114.231,phish
y.y.y.y,141.327,phish
y.y.y.y,132.949,phish
y.y.y.y,172.161,phish
y.y.y.y,121.919,phish
y.y.y.y,140.615,phish
y.y.y.y,266.456,phish
y.y.y.y,257.603,phish
y.y.y.y,117.055,phish
y.y.y.y,112.505,phish
y.y.y.y,260.028,phish
y.y.y.y,130.272,phish
y.y.y.y,7.322,phish
y.y.y.y,266.484,phish
y.y.y.y,49.92,phish
y.y.y.y,252.516,phish
y.y.y.y,167.545,phish
y.y.y.y,141.422,phish
y.y.y.y,171.462,phish
y.y.y.y,6.563,phish
y.y.y.y,7.043,phish
y.y.y.y,6.459,phish
y.y.y.y,7.369,phish
y.y.y.y,250.345,phish
y.y.y.y,6.706,phish
y.y.y.y,6.497,phish
y.y.y.y,6.707,phish
y.y.y.y,7.513,phish
y.y.y.y,306.167,phish
y.y.y.y,267.627,phish
y.y.y.y,168.694,phish
y.y.y.y,6.354,phish
y.y.y.y,130.17,phish
y.y.y.y,7.618,phish
y.y.y.y,6.408,phish
y.y.y.y,163.028,phish
y.y.y.y,111.431,phish
y.y.y.y,263.009,phish
y.y.y.y,112.881,phish
y.y.y.y,159.754,phish
y.y.y.y,165.948,phish
y.y.y.y,113.229,phish
y.y.y.y,250.894,phish
y.y.y.y,230.015,phish
y.y.y.y,257.209,phish
y.y.y.y,66.597,phish
y.y.y.y,154.039,phish
y.y.y.y,106.676,phish
y.y.y.y,253.405,phish
y.y.y.y,130.922,phish
y.y.y.y,7.303,phish
y.y.y.y,60.353,phish
y.y.y.y,264.719,phish
y.y.y.y,264.582,phish
y.y.y.y,265.311,phish
y.y.y.y,264.678,phish
y.y.y.y,160.369,phish
y.y.y.y,6.991,phish
y.y.y.y,11.439,phish
y.y.y.y,247.891,phish
y.y.y.y,205.97,phish
y.y.y.y,233.984,phish
y.y.y.y,73.864,phish
y.y.y.y,240.552,phish
y.y.y.y,5.876,phish
y.y.y.y,6.283,phish
y.y.y.y,243.873,phish
y.y.y.y,5.827,phish
y.y.y.y,265.816,phish
y.y.y.y,257.062,phish
y.y.y.y,260.398,phish
y.y.y.y,7.089,phish
y.y.y.y,7.853,phish
y.y.y.y,234.087,phish
y.y.y.y,6.641,phish
y.y.y.y,141.152,phish
y.y.y.y,6.665,phish
y.y.y.y,16.552,phish
y.y.y.y,6.944,phish
y.y.y.y,6.393,phish
y.y.y.y,140.205,phish
y.y.y.y,108.568,phish
y.y.y.y,265.296,phish
y.y.y.y,8.154,phish
y.y.y.y,140.223,phish
y.y.y.y,104.501,phish
